CIUDAD,PRODUCTO,SCORE_RECOMENDACION,CANTIDAD_PREDICHA
Abejorral / Antioquia,CELULAR POCO X6 PRO 5G 512 NEGRO 12,19.61801538399793,8
Abejorral / Antioquia,FLETE POR ENVIO,18.533315548336557,7
Abejorral / Antioquia,CELULAR NOTE 13 PRO + 5G 512 NEGRO 12RAM,18.413972620210053,9
Abejorral / Antioquia,CELULAR POCO X6 PRO 5G 512 AMARILLO,16.726275855048442,7
Abejorral / Antioquia,CELULAR POCO X6 PRO 5G 512 GRIS,16.54030125013961,6
Abrego / Norte de Santander,CELULAR POCO X6 PRO 5G 512 NEGRO 12,45.583310444471785,8
Abrego / Norte de Santander,FLETE POR ENVIO,44.05969408421396,7
Abrego / Norte de Santander,CELULAR POCO X6 PRO 5G 512 AMARILLO,41.64521188620649,7
Abrego / Norte de Santander,CELULAR NOTE 13 PRO 5G 256 NEGRO 8 RAM,35.55339118417313,6
Abrego / Norte de Santander,CELULAR POCO X6 PRO 5G 512 GRIS,34.6301097865538,6
Acacías / Meta,CELULAR NOTE 13 PRO 4G 256 NEGRO 8G,70.88394447152976,55
Acacías / Meta,NINTENDO SWITCH OLED NEON,69.16960130867915,69
Acacías / Meta,NINTENDO SWITCH OLED 64 BLANCO,59.31913301791341,64
Acacías / Meta,CELULAR NOTE 13 PRO + 5G 512 PURPURA 12,58.03555891063507,39
Acacías / Meta,CELULAR IPHONE 15 128 NEGRO,52.456738116898954,54
Acevedo / Huila,CELULAR NOTE 13 PRO + 5G 512 NEGRO 12RAM,6.661722382738533,9
Acevedo / Huila,FLETE POR ENVIO,5.816846507185876,1
Acevedo / Huila,CELULAR POCO X6 PRO 5G 512 NEGRO 12,5.604672546940524,8
Acevedo / Huila,CELULAR NOTE 13 PRO 5G 256 NEGRO 8 RAM,5.167956042445607,6
Acevedo / Huila,CELULAR NOTE 13 PRO 4G 256 NEGRO 8G,5.073810897979268,5
Achí / Bolívar,CELULAR NOTE 13 PRO 5G 512 NEGRO 12,1.208327318915087,2
Achí / Bolívar,CELULAR POCO X6 5G 256 NEGRO 12 RAM,1.1215776111567262,2
Achí / Bolívar,CELULAR NOTE 13 PRO 5G 256 NEGRO 8 RAM,1.0153113291947249,2
Achí / Bolívar,CELULAR IPHONE 15 128 NEGRO,1.0076671471209422,1
Achí / Bolívar,FLETE POR ENVIO,0.9806925761308699,1
Agrado / Huila,FLETE POR ENVIO,6.036757227496529,7
Agrado / Huila,CELULAR POCO X6 PRO 5G 512 NEGRO 12,5.50365908454287,1
Agrado / Huila,CELULAR POCO X6 PRO 5G 512 GRIS,5.189384864353145,1
Agrado / Huila,CELULAR NOTE 13 PRO + 5G 512 NEGRO 12RAM,5.140950845900403,1
Agrado / Huila,CELULAR POCO X6 PRO 5G 512 AMARILLO,4.143873813165525,7
Agua de Dios / Cundinamarca,CELULAR NOTE 13 PRO + 5G 512 NEGRO 12RAM,56.796985852001676,11
Agua de Dios / Cundinamarca,CELULAR POCO X6 PRO 5G 512 GRIS,43.76235841287809,6
Agua de Dios / Cundinamarca,CELULAR NOTE 13 PRO 5G 256 NEGRO 8 RAM,42.67784018050475,5
Agua de Dios / Cundinamarca,CELULAR SAMSUNG A55 5G 256 AZUL 8G,40.71534071430736,5
Agua de Dios / Cundinamarca,CELULAR SAMSUNG A55 5G 256 AZUL OSCURO 8,39.46421836325869,4
